level,session_date,journal_number_open,citation_number_open,h_index_open,journal_number_real,citation_number_real,h_index_real
2,2018-04-06,5,10,3,2,5,2
1,2017-12-05,15,157,7,18,337,10
1,2018-04-06,33,292,10,28,635,13
2,2018-04-06,21,254,9,28,635,13
2,2016-12-02,10,65,5,9,155,8
1,2017-12-05,30,429,12,28,922,18
1,2018-04-06,19,289,10,20,422,11
2,2017-04-03,7,171,7,20,422,11
2,2018-04-06,6,273,10,20,422,11
1,2016-12-02,19,361,12,17,815,14
1,2017-12-05,23,453,12,17,815,14
2,2016-12-02,8,219,9,5,317,11
2,2017-12-05,11,221,8,5,317,11
1,2018-04-06,20,450,11,26,1124,17
1,2017-08-04,47,2774,21,35,4457,25
2,2018-04-06,36,160,7,35,458,12
2,2017-08-04,7,54,6,7,77,6
1,2016-12-02,16,467,11,18,765,14
1,2017-12-05,17,538,12,18,765,14
2,2016-12-02,9,330,9,18,765,14
2,2017-08-04,6,176,9,6,313,11
2,2016-12-02,8,75,7,9,153,7
2,2017-12-05,12,187,8,11,412,10
1,2016-12-02,13,937,11,15,2172,19
1,2016-12-02,39,541,13,44,914,17
2,2018-04-06,4,161,7,3,263,8
2,2016-12-02,7,78,6,6,162,7
2,2018-04-06,10,131,8,6,162,7
1,2017-04-03,8,117,7,10,448,12
1,2018-04-06,11,115,7,10,448,12
2,2016-12-02,5,54,6,10,448,12
2,2018-04-06,21,354,10,18,597,14
2,2018-04-06,16,203,9,13,215,9
1,2016-12-02,14,245,7,15,449,10
1,2016-12-02,23,298,9,24,570,11
1,2018-04-06,23,191,8,24,570,11
1,2016-12-02,29,180,7,22,340,9
1,2017-12-05,27,210,10,22,340,9
2,2016-12-02,6,58,5,7,130,7
1,2016-12-02,9,110,6,13,196,9
1,2018-04-06,8,99,6,10,217,9
2,2018-04-06,10,64,5,9,133,7
1,2016-12-02,23,2097,22,19,2440,20
2,2016-12-02,16,89,6,13,278,10
2,2018-04-06,9,168,7,12,358,10
1,2016-12-02,30,343,10,28,707,16
1,2018-04-06,30,408,11,28,707,16
2,2018-04-06,12,228,10,9,489,10
1,2016-12-02,13,198,8,10,325,10
1,2018-04-06,15,349,9,10,325,10
2,2016-12-02,9,198,8,10,325,10
2,2017-12-05,8,57,5,8,148,7
2,2017-04-03,5,104,7,4,204,8
2,2018-04-06,7,132,8,4,204,8
1,2018-04-06,21,497,15,23,934,19
2,2017-04-03,11,369,13,23,934,19
1,2016-12-02,8,145,7,10,263,9
2,2016-12-02,12,234,8,10,264,8
1,2016-12-02,10,85,5,13,268,9
1,2018-04-06,19,134,7,13,268,9
1,2016-12-02,30,511,10,31,883,11
1,2017-12-05,20,1013,9,20,1441,12
2,2016-12-02,7,299,8,8,422,9
1,2017-04-03,11,89,6,8,189,8
2,2017-12-05,6,87,4,3,194,6
2,2016-12-02,6,107,6,14,222,8
2,2016-12-02,24,162,8,12,126,8
2,2016-12-02,6,163,8,4,167,7
2,2018-04-06,14,164,6,12,194,8
2,2018-04-06,4,106,6,6,175,6
2,2016-12-02,11,36,4,19,129,7
2,2018-04-06,13,97,6,19,129,7
2,2016-12-02,6,47,4,5,155,7
2,2016-12-02,16,279,10,16,499,11
2,2017-08-04,3,61,5,3,458,6
1,2018-04-06,17,432,14,20,786,15
2,2016-12-02,10,76,5,12,163,7
2,2018-04-06,10,75,6,8,116,7
2,2018-04-06,6,105,5,6,189,7
2,2018-04-06,8,243,8,10,299,9
1,2018-04-06,16,300,11,16,667,14
2,2016-12-02,14,78,5,14,300,10
2,2016-12-02,4,87,6,6,146,6
2,2016-12-02,12,242,9,7,148,6
2,2018-04-06,5,62,5,4,208,7
1,2018-04-06,13,150,8,10,226,8
2,2018-04-06,1,131,8,10,226,8
2,2016-12-02,13,206,10,12,346,11
1,2018-04-06,7,341,6,11,640,8
1,2016-12-02,13,273,9,11,409,10
1,2017-12-05,13,351,11,11,409,10
2,2016-12-02,17,684,13,15,730,12
